股票代码,股票简称,现价(元),涨跌幅(%),QFII持股比例(%)2018.09.30,QFII持股数量(股)2018.09.30,QFII持股市值(元)2018.09.30,QFII持股家数(家)2018.09.30,QFII持股选股明细
002340.SZ,格林美,4.52,0.67,0.75,23399766.00,122848771.50,1.,--
300383.SZ,光环新网,14.29,-1.11,0.75,10433800.00,150038044.00,1.,--
600196.SH,复星医药,27.59,-2.61,0.73,13965367.00,440607328.85,1.,--
600809.SH,山西汾酒,33.59,0.54,0.73,6330300.00,299359887.00,1.,--
600582.SH,天地科技,3.95,-0.50,0.73,30244520.00,126724538.80,1.,--
002597.SZ,金禾实业,16.08,2.55,0.73,4030156.00,68190239.52,1.,--
000651.SZ,格力电器,38.59,0.16,0.73,43396407.00,1744535561.40,1.,--
002626.SZ,金达威,13.12,1.39,0.73,4355532.00,60977448.00,1.,--
000049.SZ,德赛电池,30.78,1.42,0.72,1480349.00,37127152.92,1.,--
002051.SZ,中工国际,11.99,-0.42,0.71,7879965.00,103385140.80,1.,--
601872.SH,招商轮船,3.89,-0.26,0.71,33441471.00,124402272.12,1.,--
002907.SZ,华森制药,20.04,-1.14,0.70,281200.00,7038436.00,1.,--
002601.SZ,龙蟒佰利,13.52,0.00,0.70,4923147.00,67693271.25,1.,--
300149.SZ,量子生物,14.87,0.81,0.69,2812900.00,41096469.00,1.,--
300015.SZ,爱尔眼科,28.12,-0.88,0.69,12703240.00,409679490.00,1.,--
600019.SH,宝钢股份,7.43,-0.67,0.68,150616212.00,1182337264.20,1.,--
603180.SH,金牌厨柜,65.96,10.01,0.68,124800.00,7474272.00,1.,--
601333.SH,广深铁路,3.29,1.23,0.66,37508532.00,135405800.52,1.,--
000967.SZ,盈峰环境,6.13,0.49,0.66,4930418.00,32097021.18,1.,--
600125.SH,铁龙物流,7.92,0.00,0.65,8479391.00,74364259.07,1.,--
000619.SZ,海螺型材,6.05,0.83,0.65,2333136.00,14372117.76,1.,--
002747.SZ,埃斯顿,9.84,0.31,0.64,4647732.00,54285509.76,1.,--
603587.SH,地素时尚,22.11,-0.59,0.64,391000.00,9516940.00,1.,--
